episode,length,totalReward,avgQ,exploration
319,1000,3.2027013818229015,67.03810119628906,0.202703028764348
320,1000,-13.408352126107655,66.14691162109375,0.2016945559844259
321,1000,3.7931941654549997,65.58755493164062,0.20069110048201586
322,1000,-12.90534579312712,65.7232437133789,0.19969263729553818
323,1000,42.77716326087616,65.06299591064453,0.19869914158760021
324,1000,-32.73615332830623,65.0732421875,0.19771058864437835
325,1000,71.43194013271055,64.17274475097656,0.19672695387500336
326,1000,40.43871852850454,63.64417266845703,0.19574821281094865
327,1000,-6.95054336177799,64.40010070800781,0.19477434110542155
328,1000,4.148891168713773,63.15883255004883,0.1938053145327578
329,1000,-23.266606140382148,63.7761344909668,0.19284110898781873
330,522,-171.544390609488,63.52300262451172,0.1918817004853918
331,1000,76.9755933887304,63.348182678222656,0.19092706515959385
332,1000,-5.630692400557544,63.6924934387207,0.18997717926327748
333,1000,-17.712815006237886,63.84552764892578,0.1890320191674403
334,1000,3.9460824518972775,63.6417350769043,0.18809156136063715
335,650,181.12773862894548,64.44243621826172,0.1871557824483952
336,1000,-28.478907082408146,63.8929328918457,0.18622465915263206
337,1000,38.08251552431853,63.992950439453125,0.1852981683110767
338,1000,23.1258683106576,64.04436492919922,0.18437628687669325
339,1000,38.83255477374072,63.473731994628906,0.18345899191710774
340,1000,-8.671196665006992,63.9838981628418,0.18254626061403756
341,1000,-9.102021111321257,63.50946807861328,0.18163807026272397
342,960,112.17781491734286,64.39009857177734,0.18073439827136714
343,1000,-1.1127513811479524,64.3918685913086,0.17983522216056433
344,1000,29.482687542691732,63.412445068359375,0.1789405195627506
345,1000,1.312180952345965,63.95634078979492,0.17805026822164238
346,902,-384.5609046961028,64.54228973388672,0.177164445991684
347,1000,5.225941247570439,63.475799560546875,0.17628303083749652
348,207,290.66804845283724,64.25466918945312,0.17540600083332988
349,101,36.6873455120101,64.66354370117188,0.17453333416251732
350,1000,-13.447919548740218,64.73085021972656,0.17366500911693267
351,996,148.57681378858365,64.24942779541016,0.17280100409645044
352,1000,5.736009587166486,64.29976654052734,0.17194129760840843
353,1000,-23.272980801459262,64.7531967163086,0.1710858682670731
354,347,259.55008972162307,64.94186401367188,0.17023469479310757
355,1000,52.4373944628365,64.18695068359375,0.16938775601304237
356,1000,44.80938211997351,64.69981384277344,0.16854503085874864
357,1000,42.086735595529,65.40837097167969,0.1677064983669141
358,1000,-5.042720734838926,65.43226623535156,0.1668721376785215
359,763,183.60145483573285,65.11061096191406,0.16604192803832987
360,1000,18.93675139135727,65.45734405517578,0.1652158487943581
361,1000,27.610974416439273,65.21815490722656,0.16439387939737127
362,688,194.53656548889018,66.29619598388672,0.16357599940036943
363,1000,-5.175920326496882,66.59349060058594,0.16276218845807905
364,692,259.11793483791,66.76895904541016,0.16195242632644682
365,557,-181.32968940145997,66.69219970703125,0.16114669286213615
366,1000,17.128884618728023,67.506103515625,0.16034496802202602
367,1000,-23.990859047403287,68.0257568359375,0.15954723186271247
368,1000,15.335563778280777,68.61723327636719,0.15875346454001243
369,1000,-17.0773463838628,68.29620361328125,0.1579636463084701
370,1000,-15.403586141050717,68.33598327636719,0.1571777575208658
371,390,-132.208329393739,68.47750091552734,0.1563957786277272
372,1000,78.05747160143896,69.43289947509766,0.155617690176843
373,431,248.94489211406398,69.71102905273438,0.1548434728127791
374,563,203.116365422588,69.977783203125,0.15407310727639714
375,1000,34.63278703907532,69.1318130493164,0.15330657440437528
376,1000,14.649778108546165,69.5196762084961,0.15254385512873164
377,1000,14.557151109556868,69.04743957519531,0.15178493047634992
378,1000,-9.230559823978961,69.16180419921875,0.15102978156850738
379,824,102.96160363834223,69.54326629638672,0.15027838962040538
380,799,153.8907747109968,69.91554260253906,0.14953073594070188
381,1000,-103.43800297989647,69.96147155761719,0.14878680193104665
382,484,147.05857052145325,69.69435119628906,0.14804656908561858
383,1000,41.776065575224756,69.79750061035156,0.1473100189906653
384,1000,45.11612064065145,69.44577026367188,0.14657713332404507
385,1000,13.127808066313937,70.12409973144531,0.14584789385477123
386,1000,-22.270027167971328,70.29296112060547,0.14512228244255845
387,1000,88.50191690232644,69.78035736083984,0.1444002810373716
388,1000,-14.370036803593539,69.79576110839844,0.14368187167897672
389,1000,-1.3652946602539324,69.56877136230469,0.14296703649649428
390,1000,-0.9127661915940115,69.89381408691406,0.1422557577079545
391,1000,-59.911130649952455,70.17633056640625,0.14154801761985525
392,1000,-10.938115820604015,70.86185455322266,0.14084379862672167
393,884,185.95986452692244,70.94769287109375,0.14014308321066835
394,1000,-1.997854960249626,70.41189575195312,0.13944585394096354
395,1000,-32.72454123307857,70.8669204711914,0.13875209347359557
396,1000,14.117671296905067,71.35508728027344,0.1380617845508414
397,1000,54.941276435106765,71.57486724853516,0.1373749100008372
398,1000,9.368271623315195,71.2524642944336,0.13669145273715147
399,1000,45.14301038925184,71.8075942993164,0.1360113957583597
400,469,198.6815046004579,71.5883560180664,0.1353347221476216
401,722,166.34746580980396,71.28369903564453,0.13466141507226032
402,1000,-29.617553539004216,71.78155517578125,0.13399145778334362
403,1000,-10.897061686075823,71.28340911865234,0.13332483361526729
404,755,162.73244090599593,72.40192413330078,0.1326615259853406
405,1000,74.20566566717619,71.80745697021484,0.13200151839337373
406,1000,-10.208411785961856,72.06590270996094,0.13134479442126742
407,588,206.7397916051122,71.95074462890625,0.1306913377326044
408,1000,11.694735200228228,71.3546142578125,0.13004113207224322
409,345,238.38867654579468,71.43711853027344,0.12939416126591366
410,829,238.82717806762878,71.06122589111328,0.1287504092198146
411,904,160.88842272244548,71.00758361816406,0.12810985992021354
412,417,203.82561538599717,70.74935913085938,0.1274724974330483
413,1000,92.2937777210253,70.49134826660156,0.12683830590353068
414,365,249.3553800499344,70.11203002929688,0.12620726955575193
415,1000,117.84718004632015,70.99295806884766,0.1255793726922905
416,1000,98.70711633662297,71.33745574951172,0.1249545996938214
417,1000,4.875090716773389,70.26051330566406,0.12433293501872777
418,1000,3.283450924231471,69.88812255859375,0.12371436320271421
